Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,101.34,0.4526,-0.05068,-1.82672,1.28381,0.43103,-2.35424,0.24302,-0.23403,-1.32075,0.05513,2.21018,1.9036,-0.74355,-0.29308,0.43501,-0.69938,-0.47098,-1.53459,-1.11067,0.91387,-1.12675,0.33781,-0.0463,1.67018,0.51679,0.73928,1.06997,0.1366,0
1,11.99,-0.6505,-0.93552,-1.20828,-0.7608,0.66841,-1.88513,0.41492,-0.49612,0.83527,1.56455,-0.49954,-0.56804,1.02061,-1.23812,0.06833,-0.85289,1.5879,-0.48632,0.82705,-1.224,1.70653,-0.32393,0.07908,0.673,1.10628,2.27554,-0.7726,0.87545,0
2,20.83,-1.20435,0.59658,1.02354,1.17454,1.872,-0.79281,-0.60883,0.65857,0.62546,1.49395,0.13421,-0.11075,-0.63443,-0.74997,1.0127,1.47264,0.15295,-0.89912,0.70097,-0.24217,0.5473,-1.2642,1.0292,0.70202,0.39666,-0.36272,1.21464,1.31778,0
3,195.24,-0.52059,-0.41702,-0.35699,1.5685,1.70428,-1.33476,-0.12993,0.13189,-0.3877,-0.83489,-0.08766,1.67978,-0.06383,2.05116,0.51663,-0.32071,0.78084,-0.9644,1.47864,-0.90758,1.54257,0.05253,-0.97174,-0.37254,-1.40946,0.11155,-1.68262,-0.32523,0
4,39.4,-0.74659,0.90687,1.29359,-0.62946,-2.13894,0.02386,1.9312,-0.11941,-1.02017,0.49541,-1.14486,1.884,0.16806,0.36093,0.21032,0.10978,1.56411,0.77351,-1.72542,-0.49266,0.49546,-0.05708,-0.64447,-0.40406,-0.35291,-0.64916,1.34595,1.43384,0
5,132.77,0.39051,-1.02757,0.12471,0.36129,0.88359,-0.14587,0.64397,-0.68646,-0.40737,-0.56559,-0.55885,0.36046,-0.08272,-0.9268,0.26324,0.85913,0.22001,1.07551,1.08777,-0.95828,-0.95654,1.3497,0.92481,2.14902,0.49436,1.51348,1.15491,2.44302,0
6,188.88,0.24018,-0.06442,1.61538,1.40905,2.00347,0.53387,1.72959,-0.6308,0.13389,0.55978,-0.88985,0.981,1.27451,-1.04891,1.31232,1.02378,-1.1921,-0.59324,0.48864,0.43191,-0.60979,1.25703,0.44755,-0.87836,-0.45424,-1.73031,-2.34133,-0.92707,0
7,42.14,-0.29608,-1.1454,2.45201,-0.37764,-1.98518,-1.81664,-1.49883,0.95725,1.66839,-1.67854,1.22226,1.85834,1.21241,3.00043,-1.79715,-0.05111,-0.53422,-0.84895,-0.1984,0.11384,0.78427,-0.75899,0.15002,0.81401,-1.75251,0.48786,1.49434,0.12363,0
8,61.97,-1.47928,-1.3897,-0.39045,0.7443,1.84223,-2.09886,-1.94763,-0.50511,0.01231,-1.56941,-2.46575,-0.12527,0.1266,-0.48195,-0.22197,-1.72275,0.38814,1.29707,0.25348,0.1772,-1.19119,0.55751,3.30524,-0.93553,-0.19965,0.26191,0.76342,-1.24835,0
9,110.06,-0.91683,-0.00196,-1.0223,0.88616,1.72818,-2.3106,0.92484,-0.56314,-1.19128,0.68288,0.30453,-0.35895,0.62444,0.10025,-0.28538,-0.15549,-0.90201,-1.20057,-0.2555,0.97922,0.18192,-0.18698,1.74476,-1.40349,-0.22516,-0.03486,-0.95331,-0.27948,0
