Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,95.4,-0.70282,0.30452,-0.3025,-0.94495,0.65743,0.20124,0.87934,0.83037,0.78508,0.8692,-2.40579,-0.71967,0.14975,-0.31549,0.27195,-0.36086,-0.30555,-0.92175,0.96899,-0.9713,-1.60786,-1.38036,0.91201,-0.09886,-0.10727,0.28143,1.10777,0.76492,0
1,8.61,0.59677,-0.15923,3.15365,-1.55322,0.55706,0.26539,-0.37307,-0.47446,-0.43753,-0.43476,0.95258,-0.05083,-0.389,-0.68083,0.42266,0.12516,-1.02592,-0.55822,-1.15129,0.38626,-0.17645,-0.8194,0.72214,-0.6169,-0.66514,1.54593,1.05675,2.23003,0
2,772.05,0.76797,3.15875,2.54944,0.48947,-1.0599,0.87067,0.53685,-0.07056,-1.118,-0.42076,0.46359,1.50713,0.17441,0.64638,-0.95377,-0.3762,-0.56013,-0.37873,-0.14127,-0.30957,-0.5812,2.45397,1.21156,0.50592,0.0689,-0.4596,-1.69188,-1.48336,1
3,22.82,0.78722,-0.74187,-0.88963,-0.65708,1.10757,1.06013,0.34244,0.12417,0.38468,-0.08135,-1.29659,-0.84311,0.94191,0.88711,0.088,0.85894,1.63114,1.86821,-1.28236,-2.77459,-1.66436,0.45271,1.73575,0.60335,-0.83074,-0.12807,1.18915,1.38686,0
4,59.36,0.17138,-0.51811,-1.10534,0.47211,1.00772,0.00193,-0.20494,-0.85815,-0.41883,-0.26409,-0.02756,-0.05687,-1.46075,-1.00273,-0.78205,1.521,-0.27258,-0.06625,-0.38881,-0.48932,0.5675,-1.42976,-1.59754,-0.26303,0.19237,-0.19949,-0.59542,1.5266,0
5,69.01,-1.5246,-0.61371,-0.65741,-0.53219,-0.53824,1.19132,-0.80223,0.16603,1.59117,0.66461,-0.18484,1.48968,1.80973,-0.23074,-0.13883,-0.08066,-0.33692,-0.69583,-0.69061,-1.12261,0.40515,0.65278,0.15375,-0.82505,0.53938,0.00094,-0.05986,-0.84189,0
6,139.47,1.36187,-0.03912,-0.02534,-2.00408,1.16338,-1.36448,0.71754,0.20217,-0.71989,-0.23797,0.19637,2.37253,0.02113,-0.41756,-0.45242,0.3216,0.15613,0.55207,1.39998,-1.62279,0.18042,2.05408,-1.27655,0.20733,-0.13191,-0.03928,-0.12735,0.61225,0
7,31.02,1.07952,0.32698,-1.28783,0.04503,-0.50473,0.48791,0.24348,1.05959,-0.17633,-0.86455,0.44773,-0.37727,1.59519,-1.68037,-0.82294,0.27926,1.19236,-0.18758,0.36635,-0.61001,1.34097,-1.10394,0.18886,-1.07047,0.59311,-1.36427,-0.77321,-0.95415,0
8,0.77,1.99942,1.36176,-0.24429,0.03834,-0.04498,0.47272,0.20815,0.2681,0.23829,0.05475,-1.30127,0.81834,0.27612,1.1659,1.26916,-0.66782,0.24994,-1.04689,0.08278,0.46622,-0.34023,0.22447,2.17773,-2.03117,0.58771,-0.09274,-0.04744,-0.14833,0
9,1264.77,1.70531,0.80172,2.66256,1.12971,-0.53181,-2.29136,0.19276,0.55073,-0.28402,-0.93513,-0.41107,-0.46131,-0.6805,-0.508,0.3572,0.23791,-0.03905,0.77249,-1.60432,0.36523,0.27057,-0.73561,-0.74462,0.10658,0.64192,-0.35654,-2.25751,-0.64619,1
10,181.15,0.31717,-0.11687,-2.03901,1.30111,0.12065,2.70967,1.43499,1.56694,0.22678,0.18025,-1.37045,-0.36193,-0.86132,-0.55111,1.04123,0.48487,-0.18957,0.76102,-0.70016,0.9376,-0.58866,0.64952,-0.66251,-1.49455,1.28017,0.64136,0.97144,-1.51574,0
11,34.93,-0.86156,-0.49713,0.13407,-0.89065,1.43303,-0.34507,0.46654,-0.67367,-0.06856,-0.34741,1.62823,0.30569,-0.12468,0.63046,0.08244,2.02948,-0.58781,-1.04323,-0.88875,-0.27427,0.6294,1.13849,-2.38417,-0.54435,-0.07125,0.35001,-0.24272,-1.57457,0
12,123.78,-0.39118,0.69326,1.86432,-1.19082,0.52266,-0.5114,1.33349,-1.69007,-1.02683,-0.21701,-0.07239,0.54896,0.76749,-0.44555,1.11386,-1.16657,0.46893,0.46584,1.30528,0.36758,0.78277,0.24217,-0.22223,-0.74515,1.29757,0.85545,-0.82403,0.94939,0
13,70.84,1.93211,0.93948,0.14026,-1.08316,-2.32467,1.18362,-0.85507,-0.77922,0.01555,-0.36206,0.79401,0.68044,0.12238,-0.58472,0.001,-0.36936,-0.71032,0.18315,0.82554,-0.0127,1.35529,-0.37873,-0.88636,0.34523,0.76536,0.03031,0.02702,2.06923,0
14,25.72,0.81787,-0.02567,0.07126,1.11772,-0.14706,-1.04111,-0.68908,-0.45323,0.16265,-0.73573,1.91449,-0.23856,-0.38701,-1.52829,0.55692,0.05549,-0.50433,-0.2436,-1.57316,0.55289,-0.54536,-0.13788,0.41134,-1.95368,-1.78218,1.27409,-0.51505,-1.5173,0
15,172.38,0.02597,0.28498,0.05403,-0.63004,-2.09335,0.86882,-0.42283,-1.18115,1.3621,-1.09195,-1.27039,-0.92488,0.64069,-0.03333,-0.88406,-0.63892,-0.10852,0.84848,0.92587,-0.60809,1.01374,-0.17852,1.43294,0.10375,-0.90928,-0.28016,0.3801,-1.44357,0
16,119.87,0.15207,-1.02521,-1.02298,-1.79252,-0.55102,0.53658,-0.90009,0.04865,1.31336,0.71244,2.92445,0.54652,0.35673,-0.38188,2.66771,-1.05246,0.00134,0.1803,0.10396,0.0775,0.12177,1.92514,0.93961,1.23307,-0.22609,-1.59538,0.7351,-0.78413,0
17,23.64,-0.49135,-1.48341,-0.03979,0.31204,0.82842,0.22508,-0.53007,-2.09872,0.02512,1.22483,-0.43788,0.20091,1.0052,0.33559,0.76394,0.76805,0.15318,1.6689,0.17914,-0.96571,-0.35922,-1.5733,-0.1942,-2.61524,2.0004,0.31745,0.59666,-1.32276,0
18,48.61,-0.7464,-0.5616,-0.54017,-0.94815,0.164,1.27734,0.49801,0.38242,0.131,0.31323,-0.84701,-1.10805,-0.04592,1.05374,-0.85278,0.38007,-0.87959,-1.48112,-0.78691,-0.82389,0.26263,0.81071,0.77566,0.91026,-0.69102,-0.31692,0.57618,1.7854,0
19,3.25,2.29996,0.33335,0.31546,-0.05878,1.73695,-0.09963,-0.85093,1.39056,-0.59059,0.02988,0.48542,1.34459,0.77247,-0.99695,-2.41888,0.07009,-2.86354,-1.49167,2.14045,0.93475,0.35839,0.53166,-0.82711,-1.24537,1.10355,-0.32313,-2.21726,-0.47218,0
20,29.55,-0.19056,-0.6094,0.53174,1.11623,0.27866,0.31611,-0.26362,0.32274,-0.1192,-0.71285,0.90219,-0.62062,-1.71523,1.39803,-0.93402,1.04607,-0.64944,-0.82618,-1.65946,-1.56182,-1.02866,-1.90591,-0.65705,1.51895,1.60015,1.49092,-0.95337,1.93068,0
21,54.13,-0.64366,-0.61269,0.08144,-0.75987,0.81606,0.73175,-0.35757,-1.11394,-1.31421,-3.4216,-0.9901,1.08171,0.82922,0.29842,0.18909,0.5702,-0.47268,-0.05395,-0.18667,0.50933,1.08789,1.13094,-0.71036,1.41633,0.46625,-0.00786,-0.31505,1.65338,0
22,139.92,0.1186,-0.55152,-0.36507,-0.97813,0.09812,0.69631,-0.09269,-0.28111,0.40043,-0.07111,-0.86681,0.03541,1.29197,0.97697,1.45035,0.47691,-0.10555,1.25062,-0.6387,-0.57514,1.111,1.42513,-1.04395,-0.08102,0.28279,-1.33334,0.23429,0.13087,0
23,57.11,-0.23198,0.65833,-1.05666,0.83542,-0.45811,0.65266,-2.43006,0.65679,0.26633,-0.91447,-0.17057,0.06148,-0.27674,-0.517,0.02113,1.19166,-0.22017,0.73113,-0.1586,-0.71476,-0.90021,2.03463,0.66108,-0.49369,1.88489,-0.92338,0.96251,1.36397,0
24,50.56,0.05694,-1.5143,-0.98454,0.61597,1.38787,0.23189,0.96877,-1.60039,-0.89921,0.52407,-0.48692,-0.0487,0.89242,-0.2446,0.70461,0.37114,-0.15568,0.07468,1.77073,-0.09613,1.7749,0.63104,-1.15619,0.22924,0.88561,-1.30505,-1.57549,-0.31858,0
25,121.02,0.12853,-0.23096,0.84146,-0.44018,-0.43678,-1.00985,1.26962,-0.03735,0.48905,1.47314,1.14362,-0.42996,0.73902,-1.26341,0.19309,-0.43529,0.10279,0.6571,-1.30991,1.8056,2.83383,-2.44957,0.19082,-0.57034,0.6225,1.37139,-1.60517,-0.93604,0
26,266.16,0.16678,0.45147,-0.7726,0.76373,-2.33341,-0.91349,0.32799,0.1782,1.65729,1.10805,-0.34727,-1.15328,-0.18152,-0.98351,-0.27154,-0.96353,-0.59702,1.85039,-0.79473,0.76515,-0.29475,0.57711,1.16455,-0.4413,-0.72733,1.051,-0.14121,0.16113,0
27,36.97,-0.45653,-1.25891,1.16681,-1.24978,0.05015,0.07995,0.58941,-0.3896,-0.13744,-1.1034,0.50784,-1.03287,1.18489,-1.11289,-1.53627,1.08802,0.633,-1.43068,-1.10697,0.10011,1.77538,0.31464,1.79786,1.28815,1.73642,-1.89128,-0.4506,-1.04541,0
