Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,181.84,-0.00364,0.60687,-2.4596,-1.07598,0.16315,0.62728,0.59389,-0.66492,-1.66349,0.25528,-0.93262,0.80222,0.94516,0.24167,-0.04251,1.39385,-0.67473,1.14752,-1.0269,-0.25902,1.21392,0.49831,0.91246,-1.23916,-1.61417,2.24012,-0.73658,-0.49875,0
1,220.05,1.8587,0.97612,3.89465,-0.59489,0.84141,-0.81724,0.19832,-0.67128,0.13848,0.56529,0.00314,0.6032,-0.04361,2.12224,0.01937,0.02866,1.9055,-0.89182,-0.86941,0.13929,0.11112,0.10217,-1.20519,-1.14015,-0.49139,-0.27854,-0.67179,-0.64415,1
2,14.48,1.70888,3.16611,1.81992,0.75654,0.70091,0.63707,1.47555,0.19856,1.12342,0.37211,-1.58966,-1.70129,-0.24105,2.46395,-0.11437,-1.05572,-1.4496,0.45396,0.56474,-0.79959,0.21697,0.42301,-1.10291,0.44433,0.61287,-0.45839,2.02453,0.50436,1
3,1218.26,1.76129,0.87477,1.68477,-0.94524,1.11478,-0.27168,0.16204,-0.30406,-1.26772,-0.23793,-0.979,1.54294,-1.56885,-1.09274,0.15168,2.47609,0.36006,1.80962,0.89866,2.51154,-0.75439,-1.14793,-1.36159,0.43425,0.33334,1.01217,-0.62246,0.06395,1
4,16.13,-0.03359,1.44507,-1.00287,0.28057,-2.22717,-0.50887,-1.81651,-1.29944,0.63422,0.69437,0.04424,0.24264,-0.80413,-0.88583,1.66952,0.41894,0.95786,-1.24998,3.0269,-0.66019,0.53547,0.1828,-0.94846,-0.99105,-1.77847,-0.23804,2.62204,0.25078,0
5,31.75,-0.25197,-0.40693,-1.74125,-0.33941,-0.77809,-0.42849,-1.7589,0.98959,0.59684,1.33884,0.40331,0.14936,-0.18175,-2.06376,-0.25458,0.28529,1.32299,-0.48826,1.24637,-0.10419,1.36917,-1.12661,0.7085,-0.39944,-0.71352,0.79348,-1.22334,-0.99644,0
6,13.96,-0.63193,1.03912,-0.53565,-0.01531,0.47169,-0.10093,2.33765,1.03471,0.85297,-0.21892,0.82775,-0.0802,0.3818,-0.1192,0.67818,-0.63675,0.04751,0.17847,-2.58866,-0.60286,-0.46122,1.68405,0.29607,0.52051,0.42545,-0.06526,1.18628,0.7651,0
7,1409.17,0.97725,3.16363,-1.18885,0.51649,-0.20786,0.36832,0.32599,-0.01254,2.61145,0.64545,0.28757,1.7192,-1.47461,-1.01176,-0.40727,0.34586,1.12824,1.86193,-0.57805,-0.12372,0.77171,0.13215,-0.22166,-0.56611,1.07563,1.80037,0.00813,0.43447,1
8,193.85,-0.23282,0.85401,-1.2104,-2.73409,0.54897,-0.06865,-0.75459,-0.07125,0.76609,0.82817,-1.5178,0.30763,0.7305,0.56855,-0.02078,-0.76347,0.65961,2.03257,0.02493,-1.351,0.24155,-0.68654,1.31279,-0.15157,-0.92684,-1.72008,0.22867,0.94041,0
9,919.83,4.62254,2.37305,2.46493,1.35776,-1.99642,-0.2433,-1.68544,1.83112,-1.03502,1.20729,-2.27452,0.00425,0.53654,0.16954,-0.64246,-0.59416,1.75249,0.8945,-0.93908,0.70273,-0.04,0.80241,1.29261,-0.01116,-1.43395,0.41674,1.4949,-0.6666,1
