Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,126.29,-0.96647,1.30897,1.05646,-1.1892,0.43561,-0.16637,-0.16378,-0.5159,-0.03963,0.6466,-1.43895,-0.5376,-1.34316,-0.83088,2.10566,-0.04386,2.82101,-0.87102,1.71001,0.408,1.9584,-1.82477,0.40714,-0.57354,-0.17531,-0.11256,-1.50145,-0.38037,0
1,134.27,0.26724,0.84104,-0.7172,-0.69915,-1.15902,0.49914,1.37651,-1.50986,-1.25309,-2.01846,0.47138,-0.67575,0.99568,0.61981,-0.38958,-0.50041,-0.01018,-0.83221,-1.51272,0.87882,-1.22975,-0.17429,0.19865,-1.22554,-0.75952,1.94716,-0.14039,-1.97382,0
2,3.79,-1.37835,1.07822,1.77964,-1.63429,0.22443,0.16872,0.89886,-0.16303,0.87539,2.30475,-0.80383,-0.25697,0.10058,2.4918,1.38214,0.07778,0.59641,0.15913,0.7058,0.82654,0.18404,0.58563,0.39548,2.71312,0.05919,0.25024,-0.22773,1.11772,0
3,0.43,0.05144,-0.7895,0.82241,0.79496,1.49271,-0.63276,0.99873,0.82427,0.65997,0.38306,-0.27528,-0.35245,1.99762,0.89267,0.39806,0.78693,0.40615,1.07803,-0.43478,0.00115,1.71641,1.80869,-0.86882,-0.74187,-1.00044,-0.90172,-1.51794,0.88119,0
4,28.97,-0.10252,-0.28245,-0.2078,0.70519,2.18837,0.89942,-1.90222,-0.83826,-0.51706,1.44463,0.21274,0.5543,0.81601,-0.75186,0.56963,-0.31684,0.37706,-0.78936,-0.97621,0.29131,-0.82634,1.29177,-2.21053,-0.3869,0.47899,0.936,0.54622,1.52464,0
5,17.25,0.54693,-1.08002,-1.52032,-0.30871,-1.11624,0.85272,0.50909,-0.79846,0.69948,-0.71307,-0.80734,-0.25292,1.58413,-0.12325,-1.43855,-0.5861,-0.50839,-1.33118,0.4904,0.65908,-0.83227,-1.1661,-1.817,-1.58701,-0.23753,0.665,1.24241,0.13053,0
6,72.91,-1.03653,0.58221,-0.07698,-0.82606,-0.4832,0.40197,0.73935,-0.65676,1.03984,-0.43607,0.26423,0.22167,0.27106,1.17696,1.84768,-0.36109,-0.17078,0.491,0.91529,1.42155,0.2354,0.08459,-1.31634,0.63583,-0.91409,0.21989,-1.7065,-0.2938,0
7,37.86,1.12971,-1.73491,-0.44295,0.34755,0.07988,0.19567,-0.09441,-0.07975,0.36336,-0.15283,-0.35817,0.55216,0.03591,-0.74341,-0.41599,-0.71512,1.09303,-1.60285,-0.47584,-0.29712,0.50308,-1.65961,-1.13069,0.06231,0.36885,-0.76901,-0.45741,-2.19962,0
8,452.39,3.54583,3.88674,0.81975,1.44859,-0.01736,0.04454,-0.67148,0.99926,0.93447,0.25016,0.09291,0.87323,-0.45394,1.3964,0.41262,-0.46234,0.05246,1.00563,0.67833,0.66542,-1.08542,0.49585,1.23194,-0.67258,2.35451,-1.3521,0.10451,-0.20446,1
9,156.86,0.01416,0.21292,0.68911,-1.5003,-0.6622,0.29271,0.68594,1.24563,-0.82143,-0.0567,-0.84116,0.7523,-1.09923,-0.34669,2.39519,0.26161,-0.17582,-1.75995,0.21963,0.17425,-0.88033,1.27709,-0.98113,0.89963,0.85079,1.0837,0.57121,-1.16659,0
10,3.86,0.01468,2.05616,-0.35932,0.86185,-0.90547,1.24684,-1.18444,-0.85466,-0.44869,0.90515,0.46672,1.27613,0.79816,1.74329,1.02763,0.37481,-0.18148,1.37462,0.19624,1.24272,0.52251,-1.29361,0.73897,2.38173,0.76802,-1.15204,0.76672,0.07381,1
