Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,769.61,2.62396,2.3677,1.43701,0.7642,-1.77843,-0.40837,1.43474,-1.91686,-1.91698,0.79911,0.65144,0.11799,-0.57349,-0.88294,-0.55919,-0.17689,0.14046,1.09534,-0.23172,1.41634,1.61505,0.57097,-2.45595,-0.12247,0.98173,-0.41009,-0.23693,0.3558,1
1,1.47,-1.96988,0.15268,-0.34747,-0.46303,0.66378,-0.65784,1.44724,0.19361,0.97393,-0.08183,0.94207,0.64301,-1.05057,0.23717,0.49158,0.47082,1.29982,-0.8371,-0.01378,1.78428,-1.24286,3.31247,-0.04532,1.12178,1.20052,1.25188,-1.64281,0.66306,0
2,14.22,0.33805,-0.28408,-0.77771,0.89795,-1.00463,-0.84933,-0.88909,-0.99801,-0.42325,1.0487,-1.15528,-0.03164,-0.21672,-0.10442,-0.01859,0.40693,-0.55036,-0.35459,0.59996,-0.45547,-0.2292,-0.81999,0.73118,-0.85257,-0.92487,0.50644,-0.72468,-1.38804,0
3,25.94,-1.07706,-1.14865,0.90356,-0.51878,1.49105,-0.27255,-0.05881,-1.7056,-1.02389,-0.68161,-0.31928,-0.74304,0.5503,-0.57402,1.01057,0.42625,-0.77657,-0.54593,-0.65827,0.20144,1.45478,-0.10266,-1.04819,1.07346,-0.04119,0.95953,0.30495,-0.62899,0
4,77.08,-0.1864,0.89415,0.26529,0.76653,1.70578,0.61443,-0.52041,-1.75269,0.29391,0.41586,-0.92511,0.22672,-0.46212,0.70476,0.72734,0.14719,-1.04973,-1.10192,0.28163,-0.13271,0.35793,-1.84277,1.32735,-0.32678,-2.14182,-0.47432,-0.38187,0.78926,0
5,1.01,0.84122,0.2453,-0.8042,2.68546,-0.23365,1.55178,-0.22159,0.28413,-0.53386,0.33639,-1.2053,-0.07586,-0.324,0.35255,-0.20602,-0.9499,-0.1043,0.38625,1.19072,-0.4934,-0.09102,-0.0829,-1.94065,0.71664,-0.27619,1.11143,0.14434,-1.07643,0
6,1301.71,0.75982,1.92387,2.49606,-0.55433,-2.45071,-1.39912,1.86618,-0.37816,-1.35813,0.65283,1.78587,2.54389,-1.11706,0.58781,-1.30523,1.35533,-0.68904,-0.20652,-0.76611,-0.06387,0.48801,-0.39678,0.25865,0.12965,-0.35981,-0.98827,0.3655,-0.37619,1
7,48.33,0.28455,0.816,-0.20519,0.76945,0.39619,0.64003,-0.67804,-3.00775,-2.09422,-0.13184,-1.27482,-0.42862,-0.01921,1.34233,0.62228,0.39707,-1.8535,-0.98177,0.89665,0.64617,-1.59996,-0.22732,-0.36476,1.21527,0.20982,-0.75417,-0.71373,-1.18687,0
8,56.79,0.56053,1.09697,-0.40997,1.67535,-1.35988,-0.65239,-0.0453,0.52589,-0.6694,-1.67027,0.32477,0.44927,-1.56521,0.34046,1.23128,-0.58667,0.22368,-0.46166,0.82969,-1.04658,-0.46729,0.19057,-0.22342,0.29256,0.05836,0.74973,0.08945,0.38854,0
9,128.89,-1.15325,1.43842,0.78633,0.03021,0.97625,0.20141,1.23991,-0.20426,-1.58548,-0.23705,0.47222,0.16078,-0.75648,-0.94316,-0.28579,1.53833,1.24495,1.73689,1.19286,-1.44143,-0.60501,0.88006,-0.35564,-1.12797,1.86018,0.63816,1.50479,2.01924,0
