Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,975.92,0.53844,1.60234,-0.07573,0.48662,-1.70418,0.9175,1.04098,0.58183,-1.83961,-0.99565,0.62887,-0.71289,-0.24436,-0.596,-0.24397,-0.12922,1.27715,-1.18987,0.99559,0.42448,-0.64718,1.04361,0.17722,0.21401,0.14119,-0.68368,-1.76968,-0.64919,1
1,70.55,-1.04129,-0.61629,0.50043,-0.7421,0.01586,0.72454,0.01327,-1.0809,0.25676,0.49199,1.85874,-1.41476,0.64938,0.48838,0.21695,0.16204,0.52175,-1.47527,-1.49179,-0.97731,1.51339,-1.75229,0.05093,-0.69099,1.15876,1.16451,0.10658,1.73078,0
2,94.19,-0.56976,0.5662,0.27614,-0.37306,0.28733,-0.68213,0.29021,0.34283,-1.33773,0.34964,-0.65042,-0.93987,0.36743,0.63757,-0.45428,-0.45777,0.2839,0.33544,-0.30072,0.56756,-0.22494,2.24034,0.45454,0.45652,0.0347,-0.39629,-0.36358,1.39587,0
3,70.37,-0.63945,0.26981,-1.36562,-1.08836,-1.46814,-0.57239,-1.93328,-0.18187,0.81064,-0.15352,1.3103,-0.12419,-0.03888,-1.19157,-1.27746,0.71329,-0.19588,1.04109,-0.15128,0.02929,-1.45705,-1.02089,1.08455,-2.29709,-1.3933,0.20991,0.68841,0.66069,0
4,96.49,-0.44935,-0.91201,-1.37096,0.44589,-0.17337,0.8642,-1.61442,-0.99638,1.08298,0.82008,0.26469,0.07069,0.73957,-0.31916,-0.36884,-1.55039,-1.42123,-0.48981,1.09122,0.247,-2.75861,-0.76108,-1.11893,0.58591,-1.06259,-0.22523,1.13201,-0.22847,0
5,177.15,0.19763,0.64825,-0.31738,-0.79542,0.34591,0.35894,0.51454,0.28942,0.48955,2.21144,-0.011,-0.80966,0.73788,0.02561,-0.44043,1.62739,-0.48572,1.01908,0.25462,0.73743,0.23272,1.03373,0.15333,-1.14493,0.72155,0.22233,1.65541,0.96905,0
6,90.11,0.65887,-0.02056,1.68008,-0.66283,-0.78216,0.03399,-1.20635,0.66074,-0.03126,0.30903,-0.57511,-0.25939,1.38436,2.21756,-1.50011,-1.20521,-2.0937,0.48482,0.06561,-1.26377,0.91923,-0.67699,-1.14762,-1.41445,1.74541,0.30056,-1.63227,0.30854,0
7,207.64,0.52599,0.34895,-1.22858,0.56353,-1.36724,1.17501,0.281,1.83445,-1.03799,0.05466,-1.37091,0.2936,-0.59196,-0.58396,-0.37242,-0.34621,-2.01526,0.93496,-2.42817,0.35636,-0.03319,-0.47467,-0.89262,-0.14915,0.62979,-0.33295,-0.2741,0.2467,0
8,61.19,-1.38368,-0.35287,0.29676,0.55611,-0.28045,-0.40729,1.36908,0.16708,-0.59899,-0.06556,-0.12009,1.45695,-1.72546,0.25521,-0.83162,-0.08474,-1.04362,0.15109,1.35511,-0.22277,-0.5328,0.17817,-0.62197,1.87785,-2.09175,-0.24571,0.05345,-0.52767,0
9,19.59,1.76672,0.92558,-0.38708,0.02633,1.00875,0.70537,-0.56065,0.111,-0.91356,1.43096,1.70017,0.6665,0.48112,-0.46432,1.02839,0.06764,-1.26781,0.96546,-0.4101,-0.29585,1.81279,-0.34789,-0.05524,0.04356,-0.07353,0.63196,0.36794,1.23787,0
10,5.94,0.86044,0.90981,0.81444,-0.22055,0.99848,-0.58759,-0.97734,0.47585,0.39169,-1.26491,0.22752,1.62179,-0.75518,-0.83716,0.60241,1.16242,-1.59384,0.94625,0.36843,1.61504,1.4701,-0.39543,0.50195,0.07928,0.05584,-0.0593,-0.38841,0.92928,0
