Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,41.95,0.85728,0.43414,2.63737,-1.49684,1.31809,0.05015,0.7468,0.3453,-0.63477,-0.36925,1.09039,1.05228,-0.91069,-1.50602,-0.17001,0.33048,0.28767,-0.06362,-0.41436,-0.72348,-0.19511,-0.06483,-0.35567,-1.52216,-0.61388,0.12722,0.29288,0.42128,0
1,22.43,0.71191,0.42324,-1.52559,0.84541,-1.50083,-0.82404,0.56991,0.82335,0.02799,-0.10623,0.06373,-0.63022,1.22455,1.84001,-1.33785,0.41943,-1.0552,0.36833,0.72067,-0.27299,-0.39721,0.56059,1.07872,1.40895,0.37869,-0.50875,1.85099,0.42553,0
2,85.24,-1.08087,-0.89795,0.7222,-0.79882,-0.2658,1.08648,-1.87526,0.41646,-1.22206,-1.08805,-0.91242,0.39532,-0.44897,0.75589,1.09844,1.36608,0.01482,2.24298,1.18851,-1.51693,0.90523,-1.04216,0.94291,-0.238,-0.13649,-0.20216,-0.09135,-1.38796,0
3,46.2,0.98628,-1.7418,0.40539,0.6283,-0.15715,-0.70937,-0.73465,0.33808,0.06848,-0.26296,-0.02507,-0.55064,1.17752,-0.95051,0.03614,-0.99852,0.63066,1.86216,0.51687,-0.08394,-0.65814,0.71929,0.90037,1.42457,-0.12858,0.44571,1.64431,1.15235,0
4,870.09,0.50792,1.5251,2.04277,-0.01492,-2.04368,0.96591,-0.43595,0.06854,-0.17149,-0.4165,-0.95324,-2.31513,0.42797,-0.28389,1.43266,0.61386,-0.85967,-0.15658,-0.22247,1.38343,0.78474,1.3937,-1.56849,-0.64421,1.26606,-0.02625,-0.64801,0.66736,1
5,214.26,0.65035,1.9528,2.80401,0.86439,-2.38174,0.56034,-1.46467,-0.40866,-0.31251,-0.58472,0.17219,0.17422,-0.83981,-1.15746,0.83238,-0.4736,-0.35829,0.14741,1.03434,-0.32159,-0.69935,-0.59786,0.53117,1.05572,-0.8153,-1.25913,-0.64382,2.21958,1
6,56.7,0.09368,-0.11944,0.5084,0.89988,1.98594,0.51462,0.3283,0.84445,-0.35464,-1.32605,0.91093,0.24445,1.02701,-1.16644,-0.72126,-0.76689,1.00379,0.69168,-0.46187,-1.18096,-0.7101,-1.42736,0.98332,-0.46797,1.12943,-0.22441,-0.55945,0.30804,0
7,30.3,0.47115,-2.44332,-0.39487,-1.34451,0.03045,-0.13303,-0.03137,0.14539,0.72735,0.96685,0.3197,-1.51186,0.43577,-1.93859,1.48909,-0.46407,0.11389,-1.22758,-0.18618,1.37422,2.69374,1.51507,0.04705,0.59267,-0.7103,0.14126,-1.02768,-0.27647,0
8,267.94,1.02626,-0.72451,1.41415,0.29985,-0.77,-1.11866,-1.9805,1.10804,-0.63471,1.76753,-0.93152,-0.94224,0.24637,-1.8487,-0.07741,0.69462,0.86301,-0.39309,-0.53647,0.3488,-0.95467,0.34844,-1.441,0.578,-0.31724,0.03088,-0.49864,0.60729,1
9,64.69,0.60267,0.22863,1.03706,-1.27937,-0.23239,1.21244,1.36343,-0.43666,0.45906,1.14402,-0.24643,-0.22155,-0.19879,1.39125,0.18875,-0.52003,0.25176,0.71042,-0.45409,-1.0724,1.75644,-1.16995,-2.77996,-0.57549,-1.44491,0.82587,0.4833,1.36808,0
10,137.91,0.85752,0.4086,0.4809,0.63067,-1.53989,-0.13444,1.27788,1.35564,0.91093,0.77234,-0.6641,-0.71477,-1.63151,-0.67973,-0.17275,-0.21826,-0.2242,-0.38665,-0.51921,0.20999,-0.19086,1.00308,-0.94697,-0.62817,-0.90318,-0.19386,0.53301,0.50134,0
11,30.31,0.72689,0.97594,0.1927,-0.02637,-1.24636,-0.28181,-0.65456,0.31729,0.10918,-0.1634,-1.29792,3.02459,-0.38533,-0.13843,-1.02879,1.19203,1.33413,0.08177,-0.36897,1.30208,2.05709,-1.68979,-1.86075,-2.4252,0.76218,-1.2037,0.15208,-0.37667,0
12,70.75,1.40215,-0.07572,-0.75874,0.08632,-0.17729,0.13591,-0.05061,-1.42703,-1.06882,-0.79269,-0.80229,-1.8348,0.47588,-0.12151,-0.2861,0.50451,-1.073,-0.08928,0.20012,-0.7638,0.12635,-0.1397,-1.20867,0.13058,-1.42784,-1.27257,-1.1661,0.06212,0
13,64.08,-0.56805,-1.94164,0.23741,0.77306,1.22957,-1.00871,0.44058,-0.24435,1.37604,-0.04369,0.61257,-1.30116,-0.19121,-1.35275,0.22322,-0.4304,-0.32008,-1.29896,0.45349,-0.15666,0.91217,0.64139,-0.44301,1.0843,-0.71641,0.49259,-0.76459,-0.7452,0
14,11.81,0.9364,1.21202,-0.73593,-1.25637,-0.03931,1.66336,-0.97846,-1.5865,0.38979,1.50291,-0.67018,-0.07689,1.92734,-0.43263,-0.50765,-1.06727,-1.55393,1.45547,-0.3654,-0.08772,0.86331,-0.4049,0.06807,-0.24468,0.70137,-2.53263,-0.56422,0.28625,0
15,787.75,1.62814,1.91212,1.97391,0.20005,1.40906,1.82821,-0.31012,1.01623,0.30508,2.58943,1.08556,-1.07359,-2.60078,1.05256,0.61168,-0.01451,0.92935,0.55107,0.63616,0.45696,0.69298,-1.01399,-1.91999,-0.32621,1.05993,-1.16358,0.047,-0.64976,1
16,16.29,0.93953,-2.14319,0.54028,-0.68754,0.71549,1.23519,-1.09299,-0.97563,-0.64478,0.21212,-0.11401,-1.45996,-0.59796,1.30322,-0.92054,0.55123,-0.42138,2.22513,0.65067,-1.73278,-1.06413,-0.37798,1.35614,-1.92513,-0.27508,0.42746,-0.15902,-0.32938,0
17,50.3,-0.59753,0.81614,-0.29054,-0.69739,-0.42868,-0.44304,0.39133,-0.88497,0.03118,1.47449,-0.25029,-0.00479,0.95996,1.35195,-0.38142,0.91183,-1.53157,0.97056,-0.34655,-0.15194,-0.83409,0.45334,-1.31797,1.55293,-0.65224,0.2289,0.20913,0.45164,0
18,68.53,0.34043,0.07584,0.87969,0.35173,-1.46997,-1.41385,0.33074,0.84244,-0.00528,-0.39682,0.10798,0.7871,1.01034,0.62939,0.53789,0.73509,-0.63041,0.21886,1.42863,0.8025,-1.24918,0.81103,1.10337,-1.29868,0.13135,-0.08528,-0.75863,0.16216,0
19,62.43,-1.15059,0.07102,-2.03336,-1.59067,1.00962,1.22036,1.27784,0.65194,1.09236,-0.23558,1.60462,0.56928,0.07085,0.43436,-0.14735,0.10894,0.66588,-1.51894,-0.86923,-0.83655,1.452,3.00962,0.72785,-0.96602,0.81137,1.48816,1.77578,-0.84241,0
20,119.42,-2.62451,-1.21106,1.40308,-0.35057,0.0676,1.98462,-0.67471,0.1661,0.12495,0.90567,0.20698,-0.86317,-0.06397,-0.79286,0.28225,-0.86657,0.87789,0.59166,-1.18378,-0.91494,0.47449,-1.44901,-0.58781,-2.3801,0.33154,-1.17903,-0.91602,1.19467,0
21,15.87,-0.33844,1.66908,0.9154,-0.04895,1.07705,-0.17042,-0.12144,0.91359,0.17032,-1.11428,-1.58897,-0.96836,-0.10234,0.19509,0.14837,0.94061,-0.31977,-0.06114,0.51699,-0.23212,0.44518,-0.47786,0.81944,-0.41073,-1.50579,1.00391,0.43015,-1.68333,0
22,23.1,0.34723,-1.36381,-1.17395,0.31343,-1.89741,-0.23996,0.3489,0.09194,-0.01414,0.10324,1.45924,-0.35599,-0.29618,-0.6683,-1.08714,0.02769,-0.04453,-0.65248,0.76734,0.15075,1.3842,-0.83374,0.30024,1.8112,-0.16925,0.5192,0.54093,2.29394,0
23,138.35,0.34001,0.96335,-0.51789,0.89708,-0.18349,-0.85492,1.92626,-0.63728,-0.54203,0.04074,0.60194,-0.04864,-0.03836,-0.38411,1.19548,-1.0645,1.17532,-0.73072,0.33061,0.18667,0.73688,0.53078,0.40918,-0.34836,0.83528,0.28296,-0.02953,-0.39271,0
24,0.99,-0.97921,1.34791,0.03907,-0.55022,0.65054,0.60858,0.28793,0.4209,1.41994,0.30839,1.05193,1.20932,-1.20358,-0.36137,0.40468,1.12893,-0.20972,0.56479,-0.76919,-0.8017,-1.011,1.70279,-1.70304,0.20397,-0.09267,1.28652,-0.34431,0.26452,0
