Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,441.36,2.46472,4.73502,-0.14368,-0.71978,-0.59262,0.16311,0.14915,-0.50073,-0.51361,-0.43827,-0.42182,-0.02349,0.49527,0.39489,0.06841,0.69518,0.0588,0.65357,0.77172,-1.65645,1.78223,-0.86042,0.76629,0.8705,-0.44134,-0.5815,-0.75593,0.08519,1
1,923.68,0.45967,3.60252,0.93221,-0.33497,0.15881,1.04039,1.70916,0.04634,0.45852,0.96401,0.15787,-1.37971,-0.395,2.35856,0.43666,-1.03869,-0.70295,0.12645,-0.72445,-0.34725,1.29143,0.98756,0.95582,0.34025,2.34588,-0.18071,0.07952,0.39597,1
2,188.29,-0.6151,2.88038,-0.1264,1.47665,-0.74959,1.92766,2.31778,-0.27593,0.13273,1.8051,0.35432,0.56064,-0.58711,-1.9418,0.74098,0.78251,-1.16108,-0.98353,0.92853,0.30985,0.6558,0.71917,0.73712,-0.72976,2.10996,0.75424,-0.21525,-1.82437,0
3,814.5,0.91663,3.69906,3.76988,-0.12188,-0.08017,0.28447,-0.29272,0.09042,-0.93768,-0.11626,-0.29336,2.29027,-0.59655,-0.45612,-0.66751,-0.44429,1.53335,-1.51057,0.57255,-1.33015,-0.2803,0.21865,1.19614,0.18938,0.47399,1.30493,-0.8321,0.01851,1
4,46.03,1.30626,2.19296,-0.29783,-1.21571,0.23529,-0.39699,0.80302,-1.089,0.86091,-0.87503,-0.65387,-1.78944,-1.25704,0.33011,-0.86046,0.57846,-1.80719,-0.78813,0.79544,0.93057,-0.28023,-1.50456,1.70555,1.28859,0.19465,1.84899,0.04063,-1.74932,0
5,38.18,0.15263,-0.58001,-1.18714,0.06122,-1.02081,0.57151,-1.02595,-0.93968,0.78152,0.34088,-0.62308,1.60178,-1.14782,0.24992,0.90748,-0.67143,-2.2403,-1.16826,2.03091,-0.00067,0.00112,1.53859,0.35726,-0.55044,0.23938,-1.07489,0.4163,-0.75735,0
6,95.6,0.05385,1.66752,1.06299,1.04289,0.70868,-0.50454,-0.41185,-0.03478,0.48637,-0.34943,-1.36311,0.89318,1.69382,-1.26307,-0.08164,2.24814,1.23189,-1.13692,0.27815,0.89802,-0.31297,0.14616,0.93043,-0.33994,2.37146,-0.36969,-2.00611,1.44208,0
7,31.76,-0.60585,-0.87484,-0.04265,1.41331,-0.57635,1.02832,0.26982,0.36863,-2.21339,-2.37133,-1.77502,0.48905,0.3006,0.03819,-1.03145,0.94845,0.32523,-1.16715,-0.22712,-0.01394,1.24551,-0.43701,0.18896,-1.84935,-0.32964,-1.30224,-0.06203,-0.47869,0
8,143.13,-0.38492,-0.48874,1.072,-0.90356,-1.03841,-1.6007,0.6611,-0.93679,0.08257,0.56398,1.06025,0.12382,1.37854,1.19438,-1.39949,-0.91825,-0.0778,-0.15391,-0.67724,-1.65295,1.58223,-0.77896,-0.78728,0.01195,-0.83023,1.56517,1.01707,-0.66562,0
9,1238.43,0.82093,1.95056,2.85194,-2.38244,0.4263,-0.07793,0.06168,-0.60738,-0.60989,1.40781,-1.19079,-1.33386,-1.09317,-0.52154,-0.13713,-0.46982,1.25371,-0.0874,-0.00646,-0.08343,-0.13964,2.12248,0.79018,1.84409,0.97163,-1.74893,-0.41976,-0.35893,1
10,87.79,-0.76439,0.13127,-0.37839,-0.84108,0.27132,0.64879,-0.22323,-0.15908,-0.64279,0.56302,1.32252,0.48397,2.01405,-1.17393,-0.23415,-0.10781,0.88279,0.56409,-0.17693,1.04091,0.39435,-0.63686,0.35404,2.24434,-0.23987,0.6102,-0.14283,1.28441,0
11,115.34,-0.73122,1.13162,-1.17083,-0.96725,-0.41731,0.23935,-0.0262,-0.23408,-1.59616,-0.42223,1.01858,-0.0704,-0.28509,1.00139,0.64061,1.04959,0.30756,1.39654,-0.51416,0.21391,0.76382,-2.28513,-0.14966,0.39753,0.67814,1.37172,-0.28757,-1.1215,0
12,32.64,-0.32295,-0.82341,0.51552,-0.72649,-0.87073,0.53965,-0.80853,-0.86394,-0.9048,-0.32606,-0.72201,-0.97853,-0.42295,1.18928,-0.60102,0.496,0.01131,-1.27875,-0.12744,0.75054,1.10576,-0.15397,-1.39685,0.23029,2.6639,0.86693,0.7823,0.21616,0
13,1432.32,-0.08373,2.27355,0.6255,-1.37199,0.1629,0.5157,-0.09713,0.95826,-0.77734,-0.82032,0.48237,-0.36777,-0.63715,1.20304,-0.03286,1.35621,0.13542,-0.35441,1.45966,-0.61811,0.65153,-1.13689,-0.57558,-0.63559,1.76948,0.14658,1.78264,-0.07621,1
14,724.34,3.24629,2.33952,2.42114,-0.21635,0.85213,-0.56201,-0.21559,-2.88061,-1.72935,-1.26591,-0.65763,-1.65168,-0.16206,1.60727,0.17755,0.86126,1.17452,0.55931,-1.3982,0.16749,-1.98399,-1.71682,0.55297,0.05328,1.74435,0.5373,0.84971,-1.0705,1
15,87.89,-0.37065,0.94684,0.07153,0.37157,0.08114,-0.33016,1.00379,-0.78184,-1.44861,0.24236,0.19408,-2.02609,0.85691,0.1649,1.13027,1.06006,-0.15738,1.33645,0.77835,-1.57857,2.07584,-1.64026,0.94948,0.91653,0.60755,0.28539,-1.67356,-1.23466,0
16,390.75,2.39252,3.50713,2.20141,-0.40722,-0.18646,-0.87406,0.54123,-0.26288,-1.14119,-1.034,-0.94403,-0.67324,-0.2073,-0.9892,0.26066,0.1448,1.97099,-1.45501,-0.31121,0.88115,-1.0,-0.49321,-1.57481,-0.65867,0.3118,-0.96201,0.1587,-0.14085,1
17,151.3,1.31628,0.63452,0.31165,0.20751,2.0693,-0.85817,0.93767,-0.76259,0.43425,0.38642,0.50449,0.07928,-0.04164,1.6296,-0.73384,-0.41509,0.93708,0.95693,-0.43836,0.70933,-1.70114,-1.93173,-0.51307,-0.02965,-0.25968,0.14472,0.53493,-0.05725,0
